url,name,sector,govt,discipline,province,city
https://www.hec.gov.pk/english/universities/Pages/KPK/Abasyn-University.aspx,Abasyn University,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/KPK/Abbottabad-University-of-Science-and-Technology-(AUST)-.aspx,Abbottabad University of Science and Technology (AUST),Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Abbottabad,
https://www.hec.gov.pk/english/universities/Pages/KPK/Abdul-Wali-Khan-University.aspx,Abdul Wali Khan University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Mardan,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Aga-Khan-University.aspx,Aga Khan University,Private,Government of Pakistan,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Air-University.aspx,Air University,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/Al-Hamd-Islamic-University.aspx,Al-Hamd Islamic University,Private,Government of Balochistan,General,Balochistan,Quetta,
https://www.hec.gov.pk/english/universities/Pages/AJK/Al-Khair-University.aspx,AlKhair University (Admission has been banned at all levels Bachelors & Masters w.e.f Fall 2016 & MS/MPhil/PhD w.e.f Fall 2014),Private,Government of AJK,General,Azad Jammu & Kashmir,Bhimber,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Ali-Institute-of-Education.aspx,Ali Institute of Education,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Allama Iqbal Open University.aspx,Allama Iqbal Open University,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/KPK/Bacha-Khan-University.aspx,Bacha Khan University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Charsada,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Bahauddin-Zakariya-University.aspx,Bahauddin Zakariya University,Public,Government of Punjab,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Bahria-University.aspx,Bahria University,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/Balochistan-University-of-Engineering--Technology.aspx,Balochistan University of Engineering & Technology,Public,Government of Balochistan,General,Balochistan,Khuzdar,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/Balochistan-University-of-Information-Technology--Management-Sciences.aspx,Balochistan University of Information Technology  Engineering & Management Sciences (BUITEMS),Public,Government of Balochistan,Engineering & Technology,Balochistan,Quetta,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Baqai-Medical-University.aspx,Baqai Medical University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Barrett Hodgson University.aspx,Barret Hodgson University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Beaconhouse-National-University.aspx,Beaconhouse National University,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Begum Nustrat Bhutto Women University Sukkur.aspx,Begum Nustrat Bhutto Women University  Sukkur,Public,Government of Sindh,General,Sindh,Sukkur,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Benazir-Bhutto-Shaheed-University-Lyari.aspx,Benazir Bhutto Shaheed University Lyari,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Benazir-Bhutto-Shaheed-University-of-Technology--Skill-Development%2C-Khairpur-Mirs.aspx,Benazir Bhutto Shaheed University of Technology & Skill Development  Khairpur Mirs,Public,Government of Sindh,Engineering & Technology,Sindh,Khairpur,
https://www.hec.gov.pk/english/universities/Pages/KPK/CECOS-University-of-Information-Technology-and-Emerging-Sciences.aspx,CECOS University of Information Technology & Emerging Sciences,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/COMSATS.aspx,COMSATS Institute of Information Technology,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Capital-University-of-Science-and-Technology.aspx,Capital University of Science & Technology,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Cholistan-University-of-Veterinary-and-Animal-Sciences%2C-Bahawalpur.aspx,Cholistan University of Veterinary and Animal Sciences  Bahawalpur,Public,Government of Punjab,Agriculture & Veterinary,Punjab,Bahawal Pur,
https://www.hec.gov.pk/english/universities/Pages/KPK/City-University-of-Science-and-Information-Technology.aspx,City University of Science and Information Technology,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Commecs-Institute-of-Business--Emerging-Sciences.aspx,Commecs Institute of Business & Emerging Sciences,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/DHA-Suffa-University.aspx,DHA Suffa University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/DOW-University-of-Health-Sciences.aspx,DOW University of Health Sciences,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Dadabhoy-Institute-of-Higher-Education.aspx,Dadabhoy Institute of Higher Education (Admissions allowed only at SNPA-17/B  Block 3  P.E.C.H. Society Shaheed-e-Millat Road  Karachi),Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Dawood-University-of-Engineering--Technology.aspx,Dawood University of Engineering & Technology,Public,Government of Sindh,Engineering & Technology,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Eman-Institute-of-Management-and-Sciences-Karachi.aspx,Emaan Institute of Management & Sciences  Karachi,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Faisalabad-Medical-Unviersity%2C-Faisalabad.aspx,Faisalabad Medical University  Faisalabad,Public,Government of Punjab,Medical,Punjab,Faisalabad,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Fatima-Jinnah-medical-University%2C-Lahore.aspx,Fatima Jinnah Medical University  Lahore,Public,Government of Punjab,Medical,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Fatima-Jinnah-Women-University.aspx,Fatima Jinnah Women University,Public,Government of Punjab,General,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Federal-Urdu-University.aspx,Federal Urdu University of Arts  Sciences & Technology,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Forman-Christian-College.aspx,Forman Christian College,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Foundation-University.aspx,Foundation University  Islamabad,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Punjab/GIFT-University.aspx,GIFT University,Private,Government of Punjab,General,Punjab,Gujranwala,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Gambat-Institute-of-Medical-Sciences.aspx,Gambat Institute of Medical Sciences,Public,Government of Sindh,General,Sindh,Khairpur,
https://www.hec.gov.pk/english/universities/Pages/KPK/Gandhara-University.aspx,Gandhara University,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Ghazi-University.aspx,Ghazi University,Public,Government of Punjab,General,Punjab,Dera Ghazi Khan,
https://www.hec.gov.pk/english/universities/Pages/KPK/Ghulam-Ishaq-Khan-Institute-of-Engineering-Sciences--Technology.aspx,Ghulam Ishaq Khan Institute of Engineering Sciences & Technology,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Swabi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Global-Institute.aspx,Global Institute  Lahore [HEC-NOC SUSPENDED] (Admissions have been Stopped by HEC from 2016),Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/Gomal-University.aspx,Gomal University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Dera Ismail Khan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Government-College-University.aspx,Government College University,Public,Government of Punjab,General,Punjab,Faisalabad,
